,Place,Potential Exposure Window,Address,Details,Zone,Last Updated,Exposure area,Geolocation Address,Geolocation Address Coords,longitude,latitude
0,Café Marco Polo,"Mon, 11/29/2021 - 10:00 to 11:30","15 Kings Wharf Pl., Dartmouth",details,Central,11/30/2021 - 19:56,Café Marco Polo,"Café Marco Polo-15 Kings Wharf Pl., Dartmouth","[{'address': '15 Kings Wharf Pl, Dartmouth, Halifax, Nova Scotia, B2Y 0C2', 'location': {'x': -63.5644440276382, 'y': 44.66420505413056}, 'score': 96.39, 'attributes': {'URL': '', 'address': '15 Kings Wharf Pl', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.565189972153014, 'ymin': 44.66340001719838, 'xmax': -63.56318997215302, 'ymax': 44.66540001719837}}]",-63.5644440276382,44.66420505413056
1,Access Nova Scotia,"Mon, 11/29/2021 - 10:00 to 13:00","300 Horseshoe Lake Dr., Halifax",details,Central,11/30/2021 - 19:58,Access Nova Scotia,"Access Nova Scotia-300 Horseshoe Lake Dr., Halifax","[{'address': '300 Horseshoe Lake Dr, Halifax, Nova Scotia, B3S 0B7', 'location': {'x': -63.67175753399362, 'y': 44.638296591415234}, 'score': 96.1, 'attributes': {'URL': '', 'address': '300 Horseshoe Lake Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.67346999576336, 'ymin': 44.63734000967367, 'xmax': -63.67146999576337, 'ymax': 44.63934000967367}}, {'address': '300 Horseshoe Rd, Halifax, North Carolina, 27839', 'location': {'x': -77.55310597410656, 'y': 36.24697032709369}, 'score': 81.99, 'attributes': {'URL': '', 'address': '300 Horseshoe Rd', 'City': 'Halifax', 'Country': 'USA'}, 'extent': {'xmin': -77.55410597410656, 'ymin': 36.245970327093694, 'xmax': -77.55210597410655, 'ymax': 36.24797032709369}}]",-63.67175753399362,44.638296591415234
2,Pitch & Pivot,"Sun, 11/28/2021 - 09:30 to 11:30","240 Brownlow Ave., Dartmouth",details,Central,11/30/2021 - 19:55,Pitch & Pivot,"Pitch & Pivot-240 Brownlow Ave., Dartmouth","[{'address': '240 Brownlow Ave, Dartmouth, Halifax, Nova Scotia, B3B 1X6', 'location': {'x': -63.57839369381716, 'y': 44.69499262268406}, 'score': 96.97, 'attributes': {'URL': '', 'address': '240 Brownlow Ave', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57994002626601, 'ymin': 44.69334000770298, 'xmax': -63.57794002626601, 'ymax': 44.695340007702974}}]",-63.57839369381716,44.69499262268406
3,The Old Triangle Irish Alehouse,"Sat, 11/27/2021 - 19:00 to 23:00","5136 Prince St, Halifax",details,Central,11/30/2021 - 19:45,The Old Triangle Irish Alehouse,"The Old Triangle Irish Alehouse-5136 Prince St, Halifax","[{'address': 'Old Triangle Irish Alehouse', 'location': {'x': -63.57229995614286, 'y': 44.647669963356314}, 'score': 99.99, 'attributes': {'URL': 'https://www.oldtriangle.com/contact-us/', 'address': '5136 Prince St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57724999999994, 'ymin': 44.642590000000034, 'xmax': -63.56724999999994, 'ymax': 44.65259000000004}}, {'address': '5136 Prince St, Halifax, Nova Scotia, B3J 1L4', 'location': {'x': -63.57229317704786, 'y': 44.64766290720907}, 'score': 94.13, 'attributes': {'URL': '', 'address': '5136 Prince St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57325001024652, 'ymin': 44.64658998465146, 'xmax': -63.57125001024652, 'ymax': 44.64858998465146}}]",-63.57229995614286,44.647669963356314
4,Moxies Bar & Grill,"Sat, 11/27/2021 - 16:30 to 18:30","9 Countryview Dr., Dartmouth",details,Central,11/30/2021 - 19:50,Moxies Bar & Grill,"Moxies Bar & Grill-9 Countryview Dr., Dartmouth","[{'address': ""Moxie's"", 'location': {'x': -63.564910001730716, 'y': 44.70097995224783}, 'score': 99.19, 'attributes': {'URL': 'http://www.moxies.ca', 'address': '9 Countryview Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57059999999996, 'ymin': 44.69583000000005, 'xmax': -63.56059999999996, 'ymax': 44.705830000000056}}, {'address': '9 Countryview Dr, Dartmouth, Halifax, Nova Scotia, B3B 0G4', 'location': {'x': -63.56492288576685, 'y': 44.70097549944226}, 'score': 96.22, 'attributes': {'URL': '', 'address': '9 Countryview Dr', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.5665999759052, 'ymin': 44.69982998960317, 'xmax': -63.5645999759052, 'ymax': 44.70182998960316}}, {'address': '9 Country View Cir, North Dartmouth, Massachusetts, 02747', 'location': {'x': -71.05816427776904, 'y': 41.65926926810264}, 'score': 93.34, 'attributes': {'URL': '', 'address': '9 Country View Cir', 'City': 'North Dartmouth', 'Country': 'USA'}, 'extent': {'xmin': -71.05916427776904, 'ymin': 41.65826926810264, 'xmax': -71.05716427776903, 'ymax': 41.66026926810264}}]",-63.564910001730716,44.70097995224783
5,Ela! Greek Taverna,"Sat, 11/27/2021 - 13:30 to 16:00","150 Hector Gate, Dartmouth",details,Central,11/30/2021 - 19:48,Ela! Greek Taverna,"Ela! Greek Taverna-150 Hector Gate, Dartmouth","[{'address': 'Ela! Greek Taverna', 'location': {'x': -63.56178993003074, 'y': 44.704949963356306}, 'score': 100, 'attributes': {'URL': 'http://www.elagreektaverna.ca', 'address': '150 Hector Gate', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.56649999999997, 'ymin': 44.699870000000026, 'xmax': -63.556499999999964, 'ymax': 44.70987000000003}}, {'address': '150 Hector Gate, Dartmouth, Halifax, Nova Scotia, B3B 0E6', 'location': {'x': -63.561781348456456, 'y': 44.704941480748786}, 'score': 95.95, 'attributes': {'URL': '', 'address': '150 Hector Gate', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.56249996796692, 'ymin': 44.70386998311472, 'xmax': -63.560499967966926, 'ymax': 44.70586998311472}}]",-63.56178993003074,44.704949963356306
6,Sou’Wester Gift and Restaurant,"Sat, 11/27/2021 - 12:30 to 14:30","178 Peggys Point Rd., Peggys Cove",details,Central,11/28/2021 - 18:12,Sou’Wester Gift and Restaurant,"Sou’Wester Gift and Restaurant-178 Peggys Point Rd., Peggys Cove","[{'address': ""Sou'Western Gift & Restaurant"", 'location': {'x': -63.9171600699692, 'y': 44.49296998384259}, 'score': 99.68, 'attributes': {'URL': '', 'address': '178 Peggys Point Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.92244999999998, 'ymin': 44.48734000000007, 'xmax': -63.91244999999997, 'ymax': 44.49734000000007}}, {'address': '178 Peggys Point Rd, Peggys Cove, Halifax, Nova Scotia, B3Z 3S2', 'location': {'x': -63.91719457875813, 'y': 44.4929726629018}, 'score': 95, 'attributes': {'URL': '', 'address': '178 Peggys Point Rd', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.91844997534782, 'ymin': 44.491339996850265, 'xmax': -63.916449975347824, 'ymax': 44.49333999685026}}]",-63.9171600699692,44.49296998384259
7,Hermitage,"Sat, 11/27/2021 - 11:30 to 23:00","1460 Lower Water St., Halifax",details,Central,11/30/2021 - 19:43,Hermitage,"Hermitage-1460 Lower Water St., Halifax","[{'address': '1460 Lower Water St, Halifax, Nova Scotia, B3J 0J3', 'location': {'x': -63.57002402652391, 'y': 44.64448289996914}, 'score': 97.19, 'attributes': {'URL': '', 'address': '1460 Lower Water St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57102402652391, 'ymin': 44.64348289996914, 'xmax': -63.56902402652391, 'ymax': 44.64548289996914}}, {'address': 'Lower Water St, Halifax, Nova Scotia, B3J', 'location': {'x': -63.57157823869807, 'y': 44.6479571307641}, 'score': 85.78, 'attributes': {'URL': '', 'address': 'Lower Water St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57257823869807, 'ymin': 44.6469571307641, 'xmax': -63.570578238698076, 'ymax': 44.648957130764096}}, {'address': 'Lower Water St, Halifax, Nova Scotia, B3J 3S8', 'location': {'x': -63.56849538517745, 'y': 44.6419487836969}, 'score': 85.78, 'attributes': {'URL': '', 'address': 'Lower Water St', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.56949538517745, 'ymin': 44.6409487836969, 'xmax': -63.56749538517745, 'ymax': 44.642948783696895}}]",-63.57002402652391,44.64448289996914
8,Pür & Simple,"Sat, 11/27/2021 - 10:30 to 12:30","189 Hector Gate, Dartmouth",details,Central,11/30/2021 - 19:47,Pür & Simple,"Pür & Simple-189 Hector Gate, Dartmouth","[{'address': '189 Hector Gate, Dartmouth, Halifax, Nova Scotia, B3B 0E5', 'location': {'x': -63.56165159659545, 'y': 44.70611586920274}, 'score': 97.1, 'attributes': {'URL': '', 'address': '189 Hector Gate', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.563019981239925, 'ymin': 44.70520999797538, 'xmax': -63.56101998123993, 'ymax': 44.707209997975376}}]",-63.56165159659545,44.70611586920274
9,Pitch & Pivot,"Fri, 11/26/2021 - 18:30 to 22:30","240 Brownlow Ave., Dartmouth",details,Central,11/30/2021 - 19:53,Pitch & Pivot,"Pitch & Pivot-240 Brownlow Ave., Dartmouth","[{'address': '240 Brownlow Ave, Dartmouth, Halifax, Nova Scotia, B3B 1X6', 'location': {'x': -63.57839369381716, 'y': 44.69499262268406}, 'score': 96.97, 'attributes': {'URL': '', 'address': '240 Brownlow Ave', 'City': 'Halifax', 'Country': 'CAN'}, 'extent': {'xmin': -63.57994002626601, 'ymin': 44.69334000770298, 'xmax': -63.57794002626601, 'ymax': 44.695340007702974}}]",-63.57839369381716,44.69499262268406
